City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Khatanga,RU,2022-01-26 01:15:56,71.9667,102.5,-2.97,86,80,13.24
106,San Patricio,US,2022-01-26 01:11:38,28.017,-97.5169,57.09,73,0,9.93
107,Villarrica,PY,2022-01-26 01:15:57,-25.75,-56.4333,84.61,57,58,6.73
108,Sitka,US,2022-01-26 01:15:58,57.0531,-135.33,39.09,87,100,4.61
109,Boston,US,2022-01-26 01:11:40,42.3584,-71.0598,34.43,54,75,8.01
110,Hilo,US,2022-01-26 01:15:58,19.7297,-155.09,78.53,69,100,6.91
111,Tuktoyaktuk,CA,2022-01-26 01:15:59,69.4541,-133.0374,15.8,92,100,42.57
112,Ilulissat,GL,2022-01-26 01:15:59,69.2167,-51.1,14.02,52,100,23.02
113,Ahipara,NZ,2022-01-26 01:16:00,-35.1667,173.1667,75.72,71,4,8.84
114,Esperance,AU,2022-01-26 01:11:06,-33.8667,121.9,67.84,79,100,13.29
115,Karratha,AU,2022-01-26 01:16:00,-20.7377,116.8463,86.0,64,0,10.07
116,Kindu,CD,2022-01-26 01:16:01,-2.95,25.95,68.94,99,97,1.74
117,Bambanglipuro,ID,2022-01-26 01:16:02,-7.95,110.2833,81.57,80,100,7.87
118,Buenavista,PH,2022-01-26 01:16:02,8.9769,125.4089,81.25,79,99,10.56
119,Marienburg,PL,2022-01-26 01:16:03,54.0359,19.0266,39.11,86,100,7.87
120,Sao Borja,BR,2022-01-26 01:14:04,-28.6606,-56.0044,79.84,76,13,8.99
121,Ulladulla,AU,2022-01-26 01:16:03,-35.35,150.4667,79.77,69,100,7.76
122,Sergeyevka,KZ,2022-01-26 01:16:04,53.88,67.4158,5.02,91,100,7.83
123,Mecca,SA,2022-01-26 01:12:12,21.4267,39.8261,67.05,66,0,3.89
124,Yellowknife,CA,2022-01-26 01:16:04,62.456,-114.3525,1.42,89,75,14.97
125,Port Moresby,PG,2022-01-26 01:11:30,-9.4431,147.1797,85.42,67,100,3.83
126,Kapaa,US,2022-01-26 01:16:05,22.0752,-159.319,78.78,68,40,3.0
127,Sur,OM,2022-01-26 01:16:06,22.5667,59.5289,68.92,66,6,11.01
128,Mmabatho,ZA,2022-01-26 01:16:06,-25.85,25.6333,69.76,60,100,11.5
129,Isangel,VU,2022-01-26 01:16:07,-19.55,169.2667,85.55,71,15,5.95
130,Butaritari,KI,2022-01-26 01:16:08,3.0707,172.7902,82.15,79,20,16.62
131,Camacha,PT,2022-01-26 01:16:08,33.0833,-16.3333,58.42,63,40,14.97
132,Kajaani,FI,2022-01-26 01:16:09,64.2273,27.7285,14.05,92,0,6.91
133,Hoquiam,US,2022-01-26 01:11:48,46.9809,-123.8893,52.02,78,0,11.5
134,Inhambane,MZ,2022-01-26 01:16:09,-23.865,35.3833,78.71,89,92,11.05
135,Nyurba,RU,2022-01-26 01:16:10,63.2842,118.3319,-17.36,98,99,5.79
136,Tiksi,RU,2022-01-26 01:08:52,71.6872,128.8694,-5.87,94,100,11.14
137,Nabire,ID,2022-01-26 01:17:11,-3.3667,135.4833,83.95,77,98,2.75
138,Kosovo Polje,XK,2022-01-26 01:17:11,42.6394,21.0961,15.84,73,75,0.0
139,Otradnoye,RU,2022-01-26 01:17:12,59.7775,30.8181,14.09,100,79,3.22
140,Cayenne,GF,2022-01-26 01:15:33,4.9333,-52.3333,80.1,86,20,4.0
141,Carnarvon,AU,2022-01-26 01:08:53,-24.8667,113.6333,80.67,65,0,17.27
142,Palasa,IN,2022-01-26 01:17:13,18.7667,84.4167,67.69,82,17,6.76
143,Xingyi,CN,2022-01-26 01:17:13,24.1877,102.817,50.11,81,10,8.52
144,Kapfenberg,AT,2022-01-26 01:17:14,47.454,15.2702,32.54,78,12,3.94
145,Marzuq,YE,2022-01-26 01:17:15,14.4,46.4667,56.16,35,0,2.48
146,Makakilo City,US,2022-01-26 01:17:15,21.3469,-158.0858,79.12,54,20,6.91
147,Nuuk,GL,2022-01-26 01:17:15,64.1835,-51.7216,23.61,74,100,11.5
148,Nadvoitsy,RU,2022-01-26 01:17:16,63.8667,34.3167,7.3,95,12,5.59
149,Saskylakh,RU,2022-01-26 01:08:53,71.9167,114.0833,10.33,85,100,19.24
150,Port Elizabeth,ZA,2022-01-26 01:17:16,-33.918,25.5701,70.11,83,100,10.36
151,Chicama,PE,2022-01-26 01:17:17,-7.8447,-79.1469,66.74,74,51,5.68
152,Sakhnovshchyna,UA,2022-01-26 01:17:17,49.1517,35.872,12.06,97,100,5.21
153,Celestun,MX,2022-01-26 01:17:18,20.8667,-90.4,73.72,91,0,7.83
154,Pitimbu,BR,2022-01-26 01:17:18,-7.4706,-34.8086,79.39,74,100,11.81
155,Airai,TL,2022-01-26 01:17:19,-8.9266,125.4092,70.66,64,100,4.21
156,Lisakovsk,KZ,2022-01-26 01:17:19,52.5369,62.4936,-0.81,95,21,5.88
157,Nguru,NG,2022-01-26 01:17:20,12.8791,10.4526,60.28,21,5,11.14
158,Lata,PT,2022-01-26 01:17:20,40.1629,-8.3327,47.71,87,5,4.76
159,Axim,GH,2022-01-26 01:17:21,4.8699,-2.2405,77.38,86,0,3.27
160,Umm Lajj,SA,2022-01-26 01:17:21,25.0213,37.2685,61.72,61,0,13.6
