City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Nelson Bay,-32.7167,152.15,79.11,60,51,1.99,AU,2022-01-26 23:20:46
133,Esterhazy,50.65,-102.0843,29.25,84,100,19.93,CA,2022-01-26 23:20:47
134,La Ronge,55.1001,-105.2842,15.12,87,100,12.57,CA,2022-01-26 23:12:41
135,Skwierzyna,52.5991,15.5065,38.68,89,100,13.56,PL,2022-01-26 23:20:48
136,Ketchikan,55.3422,-131.6461,39.18,93,40,8.05,US,2022-01-26 23:19:44
137,Atbasar,51.8,68.3333,-8.97,99,100,4.03,KZ,2022-01-26 23:21:48
138,Tiksi,71.6872,128.8694,-0.76,89,28,17.81,RU,2022-01-26 23:21:49
139,Huanren,41.2647,125.3667,4.12,94,6,2.86,CN,2022-01-26 23:21:49
140,Cherskiy,68.75,161.3,-43.74,99,47,4.76,RU,2022-01-26 23:21:50
141,Sur,22.5667,59.5289,66.94,53,10,2.19,OM,2022-01-26 23:12:45
142,Valle De Juarez,19.9333,-102.9333,70.45,29,92,6.29,MX,2022-01-26 23:21:50
143,Takoradi,4.8845,-1.7554,78.94,82,1,6.53,GH,2022-01-26 23:21:51
144,Cayenne,4.9333,-52.3333,75.24,94,75,5.75,GF,2022-01-26 23:21:51
145,Nobres,-14.7203,-56.3275,74.14,94,92,8.34,BR,2022-01-26 23:21:51
146,Batatais,-20.8911,-47.585,75.18,90,45,3.29,BR,2022-01-26 23:21:52
147,Bethel,41.3712,-73.414,24.04,49,0,9.22,US,2022-01-26 23:12:51
148,Houlton,46.1262,-67.8403,-2.38,71,0,0.0,US,2022-01-26 23:21:52
149,Pedernales,18.0384,-71.744,76.78,71,0,5.12,DO,2022-01-26 23:21:53
150,Marsh Harbour,26.5412,-77.0636,75.45,72,38,13.53,BS,2022-01-26 23:21:53
151,Pimentel,-6.8367,-79.9342,71.89,73,0,18.41,PE,2022-01-26 23:21:54
152,Fitchburg,42.5834,-71.8023,19.72,44,0,1.99,US,2022-01-26 23:21:54
153,Umm Lajj,25.0213,37.2685,64.51,50,12,12.21,SA,2022-01-26 23:21:55
154,Tuatapere,-46.1333,167.6833,58.82,58,72,8.68,NZ,2022-01-26 23:21:55
155,Ponta Do Sol,32.6667,-17.1,60.71,66,82,7.11,PT,2022-01-26 23:21:56
156,Isangel,-19.55,169.2667,86.11,84,75,4.61,VU,2022-01-26 23:21:56
157,Tiarei,-17.5333,-149.3333,86.0,76,95,16.08,PF,2022-01-26 23:21:56
158,Yerbogachen,61.2767,108.0108,-20.85,100,93,3.6,RU,2022-01-26 23:21:57
159,Rio Grande,-32.035,-52.0986,75.94,92,100,14.58,BR,2022-01-26 23:21:57
160,Codrington,-38.2667,141.9667,76.41,76,40,3.06,AU,2022-01-26 23:21:13
161,Puerto Colombia,10.9878,-74.9547,78.89,80,99,25.77,CO,2022-01-26 23:21:58
162,Ambilobe,-13.2,49.05,72.37,95,93,2.01,MG,2022-01-26 23:21:58
163,Leibnitz,46.7816,15.5384,35.11,72,52,1.01,AT,2022-01-26 23:21:59
164,Bielsk Podlaski,52.7651,23.1865,36.25,98,100,15.37,PL,2022-01-26 23:21:59
165,Gadsden,34.0143,-86.0066,44.55,36,0,8.05,US,2022-01-26 23:22:00
166,Chokurdakh,70.6333,147.9167,-28.21,97,49,11.86,RU,2022-01-26 23:22:00
167,Aklavik,68.2191,-135.0107,0.43,71,100,10.36,CA,2022-01-26 23:22:01
168,Bonfim,3.0833,-59.95,86.83,47,99,6.15,BR,2022-01-26 23:22:01
169,Bafoulabe,13.8065,-10.8321,79.07,10,77,4.25,ML,2022-01-26 23:22:02
170,Slupsk,54.4641,17.0287,40.41,90,100,18.12,PL,2022-01-26 23:22:02
171,Port Hardy,50.6996,-127.4199,41.76,87,75,6.91,CA,2022-01-26 23:22:03
172,Gunjur,13.2019,-16.7339,76.82,51,72,11.7,GM,2022-01-26 23:22:03
173,Esperance,-33.8667,121.9,64.24,82,84,6.29,AU,2022-01-26 23:17:44
174,Deputatskiy,69.3,139.9,-13.65,93,100,5.3,RU,2022-01-26 23:22:04
175,Iquique,-20.2208,-70.1431,69.84,76,29,1.57,CL,2022-01-26 23:22:04
176,Faanui,-16.4833,-151.75,80.87,76,74,15.59,PF,2022-01-26 23:21:53
177,Karratha,-20.7377,116.8463,80.49,67,5,14.36,AU,2022-01-26 23:22:05
178,San Andres,12.5847,-81.7006,82.42,65,20,10.36,CO,2022-01-26 23:22:05
179,Seka,17.9285,103.9552,66.27,57,10,3.91,TH,2022-01-26 23:22:06
180,Aguas Belas,-9.1114,-37.1231,77.59,66,64,13.18,BR,2022-01-26 23:22:06
181,Alekseyevsk,57.8406,108.3492,-7.96,100,95,1.32,RU,2022-01-26 23:22:07
182,Panaba,21.2833,-88.2667,75.99,77,61,11.1,MX,2022-01-26 23:21:16
183,Nowogard,53.6744,15.1163,41.43,87,100,9.22,PL,2022-01-26 23:22:07
184,La Macarena,2.1837,-73.7849,82.99,53,100,0.31,CO,2022-01-26 23:22:08
185,Kahului,20.8947,-156.47,82.42,62,20,17.27,US,2022-01-26 23:22:08
186,Qaanaaq,77.484,-69.3632,-8.37,61,86,8.03,GL,2022-01-26 23:23:09
187,Jumla,29.2747,82.1838,24.33,77,31,4.47,NP,2022-01-26 23:23:09
188,Saint-Philippe,-21.3585,55.7679,71.19,66,84,8.37,RE,2022-01-26 23:23:10
189,Praia Da Vitoria,38.7333,-27.0667,59.25,88,75,10.89,PT,2022-01-26 23:23:10
190,Richards Bay,-28.783,32.0377,73.63,92,79,6.33,ZA,2022-01-26 23:23:11
191,Coihaique,-45.5752,-72.0662,78.75,29,0,5.75,CL,2022-01-26 23:23:11
192,Porto Novo,6.4965,2.6036,76.82,76,1,6.96,BJ,2022-01-26 23:23:11
193,Pangody,65.85,74.4859,-0.58,97,100,10.2,RU,2022-01-26 23:23:12
194,Cidreira,-30.1811,-50.2056,75.83,95,75,10.6,BR,2022-01-26 23:20:52
195,Pevek,69.7008,170.3133,-33.39,98,48,3.06,RU,2022-01-26 23:23:12
196,San Quintin,30.4833,-115.95,62.13,58,100,8.55,MX,2022-01-26 23:23:13
197,Half Moon Bay,37.4636,-122.4286,67.1,59,0,1.01,US,2022-01-26 23:21:47
198,Great Yarmouth,52.6083,1.7305,43.05,88,71,19.77,GB,2022-01-26 23:23:13
199,Nikolskoye,59.7035,30.7861,25.88,89,100,9.46,RU,2022-01-26 23:23:14
200,Saquarema,-22.92,-42.5103,84.22,80,2,9.19,BR,2022-01-26 23:23:14
201,Bandarbeyla,9.4942,50.8122,72.97,67,5,15.48,SO,2022-01-26 23:21:58
202,Sept-Iles,50.2001,-66.3821,-8.97,58,0,6.91,CA,2022-01-26 23:23:15
203,Kismayo,-0.3582,42.5454,76.89,78,100,14.79,SO,2022-01-26 23:23:16
204,Abu Dhabi,24.4667,54.3667,65.97,91,20,2.3,AE,2022-01-26 23:18:54
205,Nangomba,-10.9,38.5,69.82,93,94,3.62,TZ,2022-01-26 23:23:17
206,Banes,20.9625,-75.7186,79.41,70,0,8.5,CU,2022-01-26 23:23:17
207,Vereeniging,-26.6731,27.9261,67.84,59,100,1.79,ZA,2022-01-26 23:23:17
208,Samana,19.2056,-69.3369,78.76,75,4,7.87,DO,2022-01-26 23:23:18
209,Amuntai,-2.4177,115.2494,74.41,98,94,1.12,ID,2022-01-26 23:23:18
210,Waddan,29.1614,16.139,44.28,59,4,4.65,LY,2022-01-26 23:23:19
211,Mackay,-21.15,149.2,77.68,77,100,13.27,AU,2022-01-26 23:23:19
212,Constitucion,-35.3333,-72.4167,63.32,80,13,9.04,CL,2022-01-26 23:23:20
213,Champerico,14.3,-91.9167,90.14,63,3,9.86,GT,2022-01-26 23:23:20
214,Kyzyl-Mazhalyk,51.1333,90.6,-8.91,96,100,1.23,RU,2022-01-26 23:23:21
215,General Roca,-39.0333,-67.5833,79.2,25,8,16.87,AR,2022-01-26 23:23:21
216,Takapau,-40.0333,176.35,65.17,66,90,7.7,NZ,2022-01-26 23:23:22
217,Port Lincoln,-34.7333,135.8667,69.69,85,39,8.23,AU,2022-01-26 23:23:23
218,Male,4.1748,73.5089,79.81,65,100,12.93,MV,2022-01-26 23:19:07
219,Ancud,-41.8697,-73.8203,74.73,69,0,2.01,CL,2022-01-26 23:20:32
220,Karlstad,59.3793,13.5036,39.76,87,100,9.22,SE,2022-01-26 23:23:23
221,Shimoda,34.6667,138.95,50.36,77,99,1.99,JP,2022-01-26 23:23:24
222,Marzuq,14.4,46.4667,57.99,66,0,2.33,YE,2022-01-26 23:23:24
223,Shenjiamen,29.9576,122.298,48.72,86,100,18.81,CN,2022-01-26 23:23:25
224,Andenes,69.3143,16.1194,30.18,86,100,9.22,NO,2022-01-26 23:23:25
225,Fortuna,40.5982,-124.1573,58.42,80,0,1.99,US,2022-01-26 23:23:26
226,Pangnirtung,66.1451,-65.7125,-14.8,58,100,0.0,CA,2022-01-26 23:23:26
227,Narsaq,60.9167,-46.05,19.62,83,83,10.96,GL,2022-01-26 23:21:51
228,Sao Joao Da Barra,-21.6403,-41.0511,76.35,81,16,23.22,BR,2022-01-26 23:23:27
229,Boguchany,58.3814,97.4531,-11.51,100,98,2.57,RU,2022-01-26 23:23:27
230,Ejido,8.5514,-71.2375,69.4,96,100,2.28,VE,2022-01-26 23:23:28
231,Katobu,-4.9408,122.5276,78.13,87,90,2.98,ID,2022-01-26 23:23:28
232,Ostersund,63.1792,14.6357,30.65,86,100,9.22,SE,2022-01-26 23:24:29
233,Sao Geraldo Do Araguaia,-6.4006,-48.555,74.7,93,92,1.74,BR,2022-01-26 23:24:29
234,Clarksburg,39.2807,-80.3445,20.08,60,0,3.44,US,2022-01-26 23:24:30
235,Zhengjiatun,43.5064,123.5064,-2.72,93,8,3.94,CN,2022-01-26 23:24:30
236,Awjilah,29.1081,21.2869,48.76,66,16,6.69,LY,2022-01-26 23:24:31
237,Jaque,7.5175,-78.1703,80.35,82,99,9.55,PA,2022-01-26 23:24:31
238,Ilulissat,69.2167,-51.1,12.22,79,100,13.8,GL,2022-01-26 23:24:32
239,Khatanga,71.9667,102.5,-1.41,84,99,11.83,RU,2022-01-26 23:24:23
240,Ilo,-17.6394,-71.3375,70.07,78,78,4.59,PE,2022-01-26 23:24:32
241,George,-33.963,22.4617,62.15,100,40,2.3,ZA,2022-01-26 23:24:33
242,Meulaboh,4.1363,96.1285,75.65,85,96,2.82,ID,2022-01-26 23:24:33
243,Flinders,-34.5833,150.8552,78.39,61,82,7.0,AU,2022-01-26 23:24:34
244,Marihatag,8.7936,126.2969,78.1,87,46,2.59,PH,2022-01-26 23:24:34
245,Newport,51.5877,-2.9984,48.25,80,97,1.99,GB,2022-01-26 23:24:35
246,Gornyy,55.1153,83.9059,-6.21,98,92,3.44,RU,2022-01-26 23:24:35
247,Broome,42.2506,-75.833,13.01,69,0,4.0,US,2022-01-26 23:24:35
248,Bereda,43.2686,-7.5406,45.91,96,60,2.64,ES,2022-01-26 23:24:36
249,Fairbanks,64.8378,-147.7164,-0.06,81,0,0.0,US,2022-01-26 23:24:36
250,Evensk,61.95,159.2333,-0.98,87,100,9.42,RU,2022-01-26 23:24:37
251,Nazareno,25.3833,-103.4167,71.91,17,58,4.99,MX,2022-01-26 23:24:37
252,Usinsk,65.9939,57.5281,7.83,97,99,10.54,RU,2022-01-26 23:24:37
253,Tallahassee,30.4383,-84.2807,58.86,73,87,5.12,US,2022-01-26 23:24:18
254,Asau,46.4333,26.4,29.32,87,97,6.71,RO,2022-01-26 23:24:11
255,Muroto,33.2833,134.15,41.04,60,81,4.21,JP,2022-01-26 23:24:38
256,Gurupa,-1.405,-51.64,73.51,97,98,3.33,BR,2022-01-26 23:24:39
257,Portland,45.5234,-122.6762,52.97,61,20,1.01,US,2022-01-26 23:20:29
258,Coahuayana,18.7333,-103.6833,87.28,48,96,5.39,MX,2022-01-26 23:24:39
259,Mango,27.9797,-82.3065,61.99,93,100,5.75,US,2022-01-26 23:24:40
260,Gazojak,41.1875,61.4036,31.64,72,0,11.03,TM,2022-01-26 23:23:20
261,Nuuk,64.1835,-51.7216,18.21,73,100,10.36,GL,2022-01-26 23:20:58
262,Laguna,38.421,-121.4238,66.7,48,0,1.99,US,2022-01-26 23:20:39
263,Paamiut,61.994,-49.6678,10.54,73,100,15.95,GL,2022-01-26 23:24:41
264,Bilibino,68.0546,166.4372,-34.44,96,26,3.67,RU,2022-01-26 23:24:41
265,Saskylakh,71.9167,114.0833,-3.62,90,68,7.45,RU,2022-01-26 23:24:42
266,Tabas,33.5959,56.9244,49.62,32,47,5.57,IR,2022-01-26 23:24:42
267,Quatre Cocos,-20.2078,57.7625,71.1,71,37,8.39,MU,2022-01-26 23:24:43
268,Iralaya,15.0,-83.2333,80.69,73,33,6.4,HN,2022-01-26 23:24:43
