City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
157,Tiarei,PF,86.0,-17.5333,-149.3333,Le Rocher de Tahiti
159,Rio Grande,BR,75.94,-32.035,-52.0986,Hotel Atlântico Rio Grande
160,Codrington,AU,76.41,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
161,Puerto Colombia,CO,78.89,10.9878,-74.9547,Hotel El Emigrante
169,Bafoulabe,ML,79.07,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
172,Gunjur,GM,76.82,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
176,Faanui,PF,80.87,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
177,Karratha,AU,80.49,-20.7377,116.8463,ibis Styles Karratha
178,San Andres,CO,82.42,12.5847,-81.7006,Hotel Arena Blanca
180,Aguas Belas,BR,77.59,-9.1114,-37.1231,Hotel Sertão
182,Panaba,MX,75.99,21.2833,-88.2667,Hotel California
184,La Macarena,CO,82.99,2.1837,-73.7849,Hotel Punto Verde
185,Kahului,US,82.42,20.8947,-156.47,Maui Seaside Hotel
191,Coihaique,CL,78.75,-45.5752,-72.0662,Diego De Almagro Coyhaique
192,Porto Novo,BJ,76.82,6.4965,2.6036,Tour Eiffel Hotel Benin
194,Cidreira,BR,75.83,-30.1811,-50.2056,Hotel Castelo
200,Saquarema,BR,84.22,-22.92,-42.5103,Hotel Fazenda Sol e Lua
203,Kismayo,SO,76.89,-0.3582,42.5454,Agan-Hotel
206,Banes,CU,79.41,20.9625,-75.7186,Hostal Iván y yailet
208,Samana,DO,78.76,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
211,Mackay,AU,77.68,-21.15,149.2,International Lodge Motel
215,General Roca,AR,79.2,-39.0333,-67.5833,Hotel y Casino del Río General Roca
218,Male,MV,79.81,4.1748,73.5089,Hotel Octave Maldives
228,Sao Joao Da Barra,BR,76.35,-21.6403,-41.0511,Pousada Porto De Canoas
231,Katobu,ID,78.13,-4.9408,122.5276,La Ode Husein
237,Jaque,PA,80.35,7.5175,-78.1703,Aventuras Jaque S.A
242,Meulaboh,ID,75.65,4.1363,96.1285,Kost Pria
243,Flinders,AU,78.39,-34.5833,150.8552,Shellharbour Resort & Conference Centre
244,Marihatag,PH,78.1,8.7936,126.2969,Mariner's Place & Resort
258,Coahuayana,MX,87.28,18.7333,-103.6833,El rranchito michuacan de ocampos
268,Iralaya,HN,80.69,15.0,-83.2333,Iglesia morava renovada
281,Palimbang,PH,80.15,6.2106,124.1894,Felmar Beach resort
291,Vallenar,CL,77.65,-28.5708,-70.7581,Humacao Bed & Breakfast
292,Reconquista,AR,77.83,-29.15,-59.65,Grand Hotel
295,Port-Gentil,GA,79.9,-0.7193,8.7815,Fengshui Residence
302,Matata,NZ,79.59,-37.8833,176.75,Matata B&B
